AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2019,11,34,36,41,83,45,37,234,37,90,HUANUCO
2020,11,41,41,70,102,269,54,356,41,122,APURIMAC
2021,6,69,63,129,37,192,80,257,72,123,AREQUIPA
2021,3,48,48,50,29,54,55,56,49,64,LIMA CENTRO
2021,7,14,17,32,46,32,26,19,20,23,LORETO
2019,9,23,12,24,48,24,23,25,23,21,AMAZONAS
2019,6,16,20,16,120,27,22,27,21,15,CUSCO
2021,2,41,41,48,103,48,42,261,42,103,HUANUCO
2021,12,39,27,38,88,54,43,184,43,27,HUANCAVELICA
2018,2,0,0,0,55,97,0,101,0,17,APURIMAC
2020,7,70,47,46,7,67,78,77,76,72,LIMA ESTE
2018,6,0,0,0,11,26,2,17,0,21,JUNIN
2018,6,0,0,1,13,59,0,1,0,35,ICA
2019,1,0,0,0,4,4,0,68,0,1,MADRE DE DIOS
2021,9,101,81,87,39,94,108,106,105,98,LIMA NORTE
2018,10,0,0,0,19,13,0,0,0,1,UCAYALI
2018,1,0,0,0,8,95,0,155,0,12,AREQUIPA
2018,7,0,0,0,3,17,0,14,0,13,MOQUEGUA
2018,10,0,0,0,111,57,0,377,0,5,ANCASH
2019,10,7,5,11,6,13,8,26,7,12,TACNA
2020,9,5,5,5,8,12,5,69,5,5,MADRE DE DIOS
2020,1,12,13,12,37,22,17,18,14,12,UCAYALI
2018,6,0,0,0,10,33,0,2,0,4,LA LIBERTAD
2020,12,13,14,33,9,54,14,25,15,22,MOQUEGUA
2018,1,0,0,0,7,60,0,0,0,91,LIMA NORTE
2020,10,67,63,115,29,190,79,255,71,111,AREQUIPA
2021,1,29,27,36,69,135,33,163,29,32,LAMBAYEQUE
2020,3,13,14,24,9,36,14,25,15,22,MOQUEGUA
2018,8,31,1,1,1,49,33,72,32,72,LIMA ESTE
2020,5,67,63,111,29,186,79,255,71,111,AREQUIPA
2019,3,0,0,3,58,28,0,1,0,0,HUANCAVELICA
2021,9,49,48,50,32,54,56,65,50,64,LIMA CENTRO
2019,11,11,8,22,7,31,14,23,13,21,MOQUEGUA
2019,6,7,8,6,31,20,15,8,10,4,UCAYALI
2020,2,10,8,28,44,29,10,147,10,18,LIMA
2020,11,29,27,35,68,134,33,162,29,32,LAMBAYEQUE
2019,7,0,0,1,5,8,0,2,0,42,CALLAO
2018,9,0,0,0,57,19,0,1,0,0,HUANCAVELICA
2019,2,69,12,3,2,51,73,72,71,72,LIMA ESTE
2018,4,0,0,0,64,362,0,0,0,3,PIURA
2020,11,38,27,38,68,49,43,119,40,27,HUANCAVELICA
2018,9,3,2,0,12,27,6,17,4,25,JUNIN
2018,9,0,0,0,51,70,0,92,0,0,LAMBAYEQUE
2018,9,0,0,1,14,63,0,1,0,39,ICA
2019,3,3,1,5,23,242,3,79,3,30,PASCO
2020,1,65,55,65,31,94,74,123,66,115,LIMA SUR
2022,1,39,35,82,131,295,46,427,40,122,PUNO
2018,2,0,0,0,8,3,0,0,0,0,TUMBES
2019,5,4,1,4,23,19,6,128,6,12,LIMA
2021,3,54,54,152,197,425,66,83,60,70,PIURA
2020,3,5,5,5,8,11,5,69,5,5,MADRE DE DIOS
2021,3,39,35,82,124,294,45,403,39,121,PUNO
2018,12,0,2,1,21,42,3,2,2,9,LA LIBERTAD
2018,11,22,3,2,10,84,74,36,53,95,LIMA NORTE
2019,7,7,5,8,6,13,8,23,7,9,TACNA
2018,3,0,0,0,4,4,0,65,0,0,MADRE DE DIOS
2020,11,100,79,87,33,94,105,104,105,98,LIMA NORTE
2020,12,53,43,73,90,78,53,264,53,54,LA LIBERTAD
2020,11,10,10,12,6,15,15,27,10,12,TACNA
2019,3,7,4,3,125,88,8,380,7,11,ANCASH
2019,12,7,7,12,6,13,9,26,7,12,TACNA
2019,10,7,1,9,5,9,8,26,7,44,CALLAO
2018,9,0,0,0,101,380,0,0,0,6,PIURA
2020,10,53,43,73,81,77,53,262,53,54,LA LIBERTAD
2018,5,0,0,0,4,4,0,65,0,0,MADRE DE DIOS
2018,11,4,3,1,4,11,5,14,5,4,TACNA
2021,11,39,35,82,130,295,46,426,40,122,PUNO
2018,2,0,0,0,50,353,0,0,0,3,PIURA
2020,6,53,43,73,71,77,53,256,53,54,LA LIBERTAD
2019,1,0,0,0,4,7,0,0,0,41,CALLAO
2018,9,0,0,0,4,4,0,68,0,0,MADRE DE DIOS
2020,4,12,12,28,46,29,14,147,13,20,LIMA
2020,1,98,74,81,31,94,104,103,104,97,LIMA NORTE
2019,8,2,3,7,28,18,12,3,8,10,LORETO
2021,6,24,27,28,57,28,29,37,27,31,AMAZONAS
2020,8,99,79,87,33,94,105,104,104,97,LIMA NORTE
2021,9,24,23,26,197,35,25,74,24,26,CUSCO
2021,3,12,12,28,60,30,17,157,14,21,LIMA
2019,5,4,6,25,151,417,24,5,23,25,PIURA
2018,6,0,0,0,2,7,0,0,0,39,CALLAO
2018,11,22,15,10,21,63,42,108,22,113,LIMA SUR
2021,9,29,27,127,38,252,32,205,29,147,PASCO
2020,8,7,8,11,17,13,40,7,10,8,TUMBES
2020,5,37,34,56,186,119,38,394,37,38,ANCASH
2018,6,0,0,0,1,48,0,72,0,72,LIMA ESTE
2019,12,64,55,62,30,88,73,123,64,115,LIMA SUR
2018,12,7,4,2,116,59,8,379,7,8,ANCASH
2018,12,3,1,0,6,19,6,16,5,15,MOQUEGUA
2018,1,0,0,0,13,13,0,0,0,0,UCAYALI
2018,10,4,1,0,14,121,5,228,4,22,AREQUIPA
2018,7,8,0,0,10,74,11,33,8,93,LIMA NORTE
2018,6,0,0,0,42,8,0,26,0,0,SAN MARTIN
2019,7,50,23,26,24,71,67,113,50,114,LIMA SUR
2020,5,27,27,92,28,252,29,138,27,70,PASCO
